author,old_author,title,old_title,sub_title,old_sub_title,publisher,old_publisher,publication_date,old_publication_year,old_original_title,old_original_subtitle,old_purchase_date,old_my_rating,image_name,old_cover,old_categories,isbn-13,isbn-10,old_isbn,old_took,old_notes,format,old_print_format,nof_pages,old_read_it,description,old_description,language,language_iso
Scott Snyder,"Scott Snyder, Greg Capullo",Batman Vol. 1,Batman Vol. 1, The Court of Owls (The New 52) (Batman (DC Comics Paperback)),The Court Of Owls,DC Comics,DC Comics,2013-03-26,2012.0,,,2016-06-18,0.0,9781401235420.jpg,https://books.google.ru/books/content?id=ZfmrAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401235420.0,1401235425,9781401235420.0,,,Paperback,,176.0,No,,"Following his ground-breaking, critically acclaimed run on Detective Comics, writer Scott Snyder (American Vampire) alongside artist Greg Capullo (Spawn) begins a new era of The Dark Knight as with the relaunch of Batman, as a part of DC Comics—The New 52! After a series of brutal murders rocks Gotham City, Batman begins to realize that perhaps these crimes go far deeper than appearances suggest. As the Caped Crusader begins to unravel this deadly mystery, he discovers a conspiracy going back to his youth and beyond to the origins of the city he's sworn to protect. Could the Court of Owls, once thought to be nothing more than an urban legend, be behind the crime and corruption? Or is Bruce Wayne losing his grip on sanity and falling prey to the pressures of his war on crime? Collects issues #1-7 of Batman.",English,en
Scott Snyder,Scott Snyder,Batman Vol. 10,Batman Vol. 10: Epilogue, Epilogue,,DC Comics,,2017-04-25,,,,2018-04-21,0.0,9781401268329.jpg,,,9781401268329.0,1401268323,9781401268329.0,,,Paperback,,144.0,No,,,English,en
Scott Snyder,"Scott Snyder, Greg Capullo, Rafael Albuquerque",Batman Vol. 2,Batman Vol. 2, The City of Owls (The New 52) (Batman: the New 52!),The City of Owls,DC Comics,DC Comics,2013-03-26,2013.0,,,2016-06-18,0.0,9781401237776.jpg,https://books.google.ru/books/content?id=Qf-rAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401237776.0,1401237770,9781401237776.0,,,Hardcover,Hardcover,208.0,No,,"""NIGHT OF THE OWLS"" continues here! Batman must stop the TALONS that have breeched the Batcave in order to save an innocent life ... and Gotham City! In the backup story, learn more about the PENNYWORTH family and the secrets they've kept from the Wayne family! Collects BATMAN #8-12 and BATMAN ANNUAL #1.",English,en
Scott Snyder,"Scott Snyder, Greg Capullo",Batman Vol. 3,Batman Vol. 3, Death of the Family (The New 52) (Batman: the New 52!),Death In The Family,DC Comics,DC Comics,2013-11-05,2013.0,,,2016-06-18,0.0,9781401242343.jpg,,Comics & Graphic Novels,9781401242343.0,1401242340,9781401242343.0,,,Hardcover,Hardcover,176.0,No,,"A direct tie to Scott Snyder and Greg Capullo's ""Death in the Family"" Batman story comes the disturbingly creepy and psychological thriller of Batman and Robin by the all star team of Peter Tomasi and Patrick Gleason. The Joker returns to test Batman and the extended Bat-family but when he squares off against Batman's son Damian aka Robin! With Batman's life hanging in the balance, The Clown Prince of Crime pushes Robin to his limits and beyond. And with the 300th anniversary of the founding of Gotham approaches, tragedy strikes the Bat-family. Collects BATMAN AND ROBIN #15-17, BATMAN AND ROBIN ANNUAL #1 and BATMAN #17.",English,en
Scott Snyder,Scott Snyder,"Batman, Vol. 4",Batman Vol. 4, Zero Year - Secret City,Zero Year - Secret City,DC Comics,DC Comics,2014-10-07,2014.0,,,2016-06-18,0.0,9781401249335.jpg,https://books.google.ru/books/content?id=18wIAwAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401249335.0,1401249337,9781401249335.0,,,Paperback,,176.0,No,,"In this first volume of the critically acclaimed ZERO YEAR storyline, the #1 New York Times bestselling creative team of Scott Snyder and Greg Capullo present an astonishing new vision of the Dark Knight's origin—and his first encounters with the Riddler, the Red Hood, and others! Before the era of superheroes began—before the Batman spread his wings to protect the innocent and punish evil—Gotham City's prodigal son, Bruce Wayne, had been missing for years. But this was exactly the cover of darkness Bruce needed. Patrolling Gotham's streets, in a series of disguises, he began a career as a faceless vigilante. Collects BATMAN issues #21-#24.",English,en
Scott Snyder,Scott Snyder,Batman Vol. 5,Batman Vol. 5, Zero Year - Dark City (The New 52),Zero Year - Dark City,DC Comics,DC Comics,2015-05-05,,,,2016-06-18,0.0,9781401253356.jpg,https://books.google.ru/books/content?id=vRFPBAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401253356.0,1401253350,9781401253356.0,,,Paperback,,256.0,No,,"Before the Batcave and Robin, the Joker and the Batmobile ... there was ZERO YEAR. The Riddler has plunged Gotham City into darkness. How will a young Dark Knight bring his beloved hometown from the brink of chaos and madness and back into the light? From the critically acclaimed, New York Times #1 best-selling creative team of Scott Snyder and Greg Capullo, BATMAN VOL. 5: ZERO YEAR--DARK CITY is the concluding volume to Batman's origin story, as you've never seen it before. Collects Batman #25-27, 29-33.",English,en
Scott Snyder,"Scott Snyder, James Tynion IV",Batman Vol. 6,Batman Vol. 6: Graveyard Shift, Graveyard Shift (The New 52),,DC Comics,DC,2015-10-06,,,,2017-04-06,0.0,9781401257538.jpg,https://books.google.com/books/content?id=aDGNBwAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401257538.0,1401257534,9781401257538.0,,,Paperback,,224.0,No,,"Scott Snyder and Greg Capullo's game-changing run on BATMAN set the comics world on fire with THE COURT OF OWLS, DEATH OF THE FAMILY and ZERO YEAR. Now collected for the first time, come the stories between the stories. In these standalone tales from the beloved series, Batman grieves for a son, infiltrates Arkham Asylum and tracks a serial killer. Spanning from the Zero Year to the future of BATMAN: ETERNAL, these stories expand and enrich the world of one of the most loved series in comics. Joining Snyder and Capullo is an all-star lineup of special guests - including Andy Kubert, Alex Maleev, Andy Clarke, Dustin Nguyen, Wes Craig, James Tynion IV, and Marguerite Bennett! This volume collects BATMAN #0, BATMAN #18-20, #28, #34 and BATMAN ANNUAL #2.",English,en
Scott Snyder,Scott Snyder,Batman Vol. 7,Batman Vol. 7: Endgame, Endgame (The New 52),,DC Comics,,2016-03-22,,,,2017-04-06,0.0,9781401261160.jpg,https://books.google.com/books/content?id=OCAhswEACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401261160.0,1401261167,9781401261160.0,,,Paperback,,192.0,No,,"For years, the Joker has regarded Batman with a sick, twisted love, thinking that one could never exist without the other. But that's all changed. Now the Clown Prince of Crime is done playing. He's going to kill Batman. And he's going to do it using those who Batman loves the most: the Justice League. The Joker returns to Gotham City with a deadlier agenda than ever before, using every tool at his disposal to finally kill the Dark Knight. That includes turning Batman's allies against him in the bloodiest brawl that he's ever had to survive. Batman Vol. 7: Endgame is the biggest, boldest story that the #1 New York Times best-selling creative team of Scott Snyder and Greg Capullo have told to date. With an ending you won't believe, this graphic novel is a classic in the making. Collects Batman #35-40.",English,en
Scott Snyder,Scott Snyder,Batman Vol. 8,Batman Vol. 8: Superheavy, Superheavy (The New 52),,DC Comics,DC,2016-09-13,,,,2017-04-06,0.0,9781401266301.jpg,https://books.google.com/books/content?id=GmZdCwAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401266301.0,1401266304,9781401266301.0,,,Paperback,,160.0,No,,"The #1 New York Times all-star creative team of Scott Snyder, Greg Capullo and Danny Miki introduce an all-new Dark Knight, with guest appearances by Brian Azzarello (WONDER WOMAN) and Jock (BATMAN: THE BLACK MIRROR). Following the disappearance and presumed death of Batman, former police commissioner Jim Gordon has been called to carry on the Dark KnightÕs legacy and become his successor. But while the name and what it stands for remain the same, this new Batman is far from just a copy of the original. Patrolling the city in a gargantuan high-tech Batsuit, Gordon is no shadowy vigilante. He has the full cooperation of the GCPD and the mayor, plus a multimillion-dollar budget from Powers International. But will an expensive suit be enough to stop the mysterious, weed-like Mr. Bloom before his deadly plans for the city take root? Collects BATMAN #41-45 and DC SNEAK PEEK: BATMAN #1.",English,en
Scott Snyder,Scott Snyder,Batman Vol. 9,Batman Vol. 9: Bloom, Bloom (The New 52),,DC Comics,DC Comics,2016-12-20,,,,2017-04-06,0.0,9781401269227.jpg,https://books.google.com/books/content?id=6gbBDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401269227.0,1401269222,9781401269227.0,,,Paperback,,200.0,No,,"Scott Snyder and Greg Capullo conclude their #1 NEW YORK TIMES best-selling, critically acclaimed saga. BATMAN RETURNS? Bruce Wayne has a nearly perfect life. He’s in love with an amazing woman and works by her side every day at one of Gotham’s youth centers, helping the children of the city he loves. His memory has been patchy ever since he nearly died in the last Joker attack, but even so, he’s confident that this is the happiest he’s ever been. And yet…he sometimes feels himself being tugged back to another life. In the negative space of his missing past is a half-remembered history, filled with violence and darkness, but also greatness. The Batman is calling Bruce back. But if he returns to his past, what will become of the perfect, happy life he has built? Scott Snyder and Greg Capullo’s character-defining run on the Dark Knight demonstrates why Batman truly is forever. Collects BATMAN #46-50, as well as a short story from DETECTIVE COMICS #27.",English,en
Mike W. Barr,Mike W. Barr,Batman,Batman Year Two, Year Two 30th Anniversary Deluxe Edition,The 30th Anniversary Deluxe Edition,DC Comics,,2017-11-28,,,,2018-08-23,0.0,9781401274566.jpg,,,9781401274566.0,1401274560,9781401274566.0,,,Hardcover,,176.0,No,,,English,en
Frank Miller,Frank Miller,The Dark Knight Returns,Batman: Dark Knight Returns, The Last Crusade,The Last Crucade Deluxe Edition,DC Comics,,2016-12-20,,,,2018-08-23,0.0,9781401265069.jpg,,,9781401265069.0,1401265065,9781401265069.0,,,Hardcover,,64.0,No,,,English,en
David Finch,Various,Batman,Batman: The Dark Knight Vol. 1," The Dark Knight, Vol. 1 - Knight Terrors (The New 52) (Batman The Dark Knight: The New 52)",Knight Terrors,DC Comics,DC Comics,2013-07-23,2013.0,,,2016-06-18,0.0,9781401237110.jpg,https://books.google.ru/books/content?id=6fyrAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401237110.0,1401237118,9781401237110.0,,,Paperback,Hardcover,208.0,No,,"The Dark Knight continues his crusade as defender of Gotham City, taking on his greatest foes during a breakout at Arkham Asylum. But when his enemies gain powers and abilities far beyond their normal capacities, the Caped Crusader's crusade may finally be at an end!",English,en
Gregg Hurwitz,"Greg Hurwitz, David Finch",Batman,Batman: The Dark Knight Vol. 2, The Dark Knight Vol. 2: Cycle of Violence (The New 52),Cycle Of Violence,DC Comics,DC Comics,2014-01-21,2014.0,,,2016-06-18,0.0,9781401242824.jpg,https://books.google.ru/books/content?id=9fqrAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401242824.0,1401242820,9781401242824.0,,,Paperback,Paperback,160.0,No,,"The Scarecrow has returned to Gotham City, but he's no longer the meek punching bag Batman is used to. The villainous genius has always preyed on the worst fears of his victims, but has refined his legendary fear toxin to even greater effectiveness and deadlier consequences. As the Scarecrow's origin is unfurled, Batman must find out not only how to conquer this dangerous psychopath, but how to beat his own worst fear. Written by New York Times best-selling crime thriller novelist Gregg Hurwitz and art from comics superstar David Finch, BATMAN: THE DARK KNIGHT VOLUME 2: CYCLE OF VIOLENCE is a terrifying look into the dark psyche of one of Gotham's most twisted villains. Collects from BATMAN: THE DARK KNIGHT #10-15 and #0.",English,en
Gregg Hurwitz,,Batman,Batman: The Dark Knight Vol. 2, The Dark Knight Vol. 2: Cycle of Violence (The New 52),Cycle of Viilence,DC Comics,,2014-01-21,,,,2017-11-19,0.0,9781401242824.jpg,,,9781401242824.0,1401242820,9781401242824.0,,,Paperback,,160.0,No,,,English,en
Gregg Hurwitz,,Batman - The Dark Knight Vol. 3,Batman: The Dark Knight Vol. 3, Mad (The New 52) (Batman: The Dark Knight: The New 52!),Mad,DC Comics,,2014-08-05,,,,2017-11-19,0.0,9781401246198.jpg,,,9781401246198.0,1401246192,9781401246198.0,,,Paperback,,176.0,No,,,English,en
Gregg Hurwitz,,Batman - The Dark Knight Vol. 4,Batman: The Dark Knight Vol. 4, Clay (The New 52),Clay,DC Comics,,2015-02-17,,,,2017-11-19,0.0,9781401249304.jpg,,,9781401249304.0,1401249302,9781401249304.0,,,Paperback,,176.0,No,,,English,en
Various,Scott Snyder,Batman,Batman: The Night Of The Owls, Night of the Owls (The New 52),,DC Comics,DC Comics,2013-02-19,2013.0,,,2016-06-18,0.0,9781401237738.jpg,,,9781401237738.0,1401237738,9781401237738.0,,,Hardcover,Hardcover,368.0,No,,,English,en
Yukito Kishiro,Yukito Kishiro,Battle Angel Alita Deluxe Edition 1,Battle Angel Alita Volume 1,,,Kodansha Comics,,2017-11-21,,,,2019-10-13,0.0,9781632365989.jpg,,,9781632365989.0,1632365987,9781632365989.0,,,Hardcover,,430.0,No,,,English,en
Yukito Kishiro,Yukito Kishiro,Battle Angel Alita Deluxe Edition 2,Battle Angel Alita Volume 2,,,Kodansha Comics,,2018-03-06,,,,2019-10-13,0.0,9781632365996.jpg,,,9781632365996.0,1632365995,9781632365996.0,,,Hardcover,,416.0,No,,,English,en
Yukito Kishiro,Yukito Kishiro,Battle Angel Alita Deluxe Edition 3,Battle Angel Alita Volume 3,,,Kodansha Comics,,2018-04-03,,,,2019-10-13,0.0,9781632366009.jpg,,,9781632366009.0,1632366002,9781632366009.0,,,Hardcover,,436.0,No,,,English,en
Yukito Kishiro,Yukito Kishiro,Battle Angel Alita Deluxe Edition 4,Battle Angel Alita Volume 4,,,Kodansha Comics,,2018-06-26,,,,2019-10-13,0.0,9781632366016.jpg,,,9781632366016.0,1632366010,9781632366016.0,,,Hardcover,,452.0,No,,,English,en
Yukito Kishiro,Yukito Kishiro,Battle Angel Alita Deluxe Edition 5,Battle Angel Alita Volume 5,,,Kodansha Comics,,2018-10-16,,,,2019-10-13,0.0,9781632366023.jpg,,,9781632366023.0,1632366029,9781632366023.0,,,Hardcover,,400.0,No,,,English,en
,"Joe Madureira, Munier Sharrieff, Tom McWeeney",,Battle Chasers,,A Gathering of Heroes,,,,,,,2016-10-09,0.0,,https://books.google.ru/books/content?id=pi7lPAAACAAJ&printsec=frontcover&img=1&source=gbs_api,Children's stories,,,761941220215.0,,,,,,No,,,,
J.H. Williams III,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 1,Batwoman Vol. 1, Hydrology (The New 52),Hydrology,DC Comics,DC Comics,2013-01-22,2013.0,,,2016-06-18,0.0,9781401237844.jpg,https://books.google.ru/books/content?id=BaCRAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401237844.0,1401237843,9781401237844.0,,,Paperback,Paperback,144.0,No,,"A NEW YORK TIMES BESTSELLER As a part of the acclaimed DC Comics„The New 52 event of September 2011, Batwoman's new series finally begins! The creative team of J.H. Williams III and W. Haden Blackman launch the ongoing Batwoman series, as Batwoman (a.ka. Kate Kane) faces deadly new challenges in her war against Gotham City's underworld_and new trials in her personal life. Who or what is stealing children from the barrio, and for what vile purpose? Will Kate train her cousin, Bette Kane (a.k.a. Flamebird), as her new sidekick? How will she handle unsettling revelations about her father, Colonel Jacob Kane? And why is a certain government agency suddenly taking an interest in her? These are some of the questions that will be answered in this long-awaited series! This deluxe hardcover colllect issues 0-5 of Batwoman, part of the DC Comics„The New 52 event.",English,en
J.H. Williams III,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 2,Batwoman Vol. 2, To Drown the World (The New 52),To Drown The World,DC Comics,DC Comics,2013-01-22,2012.0,,,2016-06-18,0.0,9781401237905.jpg,https://books.google.ru/books/content?id=aaCRAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401237905.0,1401237908,9781401237905.0,,,Hardcover,,144.0,No,,"A NEW YORK TIMES BESTSELLER Six lives, inextricably linked in the past and present, each on a collision course with the others: Batwoman, fighting for duty andvengeance against a threat of arcane power. Detective Maggie Sawyer, investigating a case that could end her career. DEO AgentCameron Chase, commanding a vigilante she despises. Colonel Jacob Kane, clutching at a life that's slipping away. Maro, a newvillain corrupting Gotham City. And Kate Kane, wrestling with decisions that will test her loyalties. J.H. Williams III and W. Haden Blackman continue their stellar BATWOMAN run, joined by senational artists Amy Reeder andTrevor McCarthy! Collecting BATWOMAN #6-11",English,en
J.H. Williams III,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 3,Batwoman Vol. 3, World's Finest (The New 52),World's Finest,DC Comics,DC Comics,2013-09-24,2013.0,,,2016-06-18,0.0,9781401242466.jpg,https://books.google.ru/books/content?id=PXJzAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401242466.0,1401242464,9781401242466.0,,,Hardcover,,168.0,No,,"Batwoman's search for Medusa brings her together with the Amazing Amazon, Wonder Woman, but even the teaming of the World's Finest might not be enough to bring down the mythological monster--leading Bones, the DEO, Abbot and the Religion of Crime all descend on Gotham City to take part in the fight. Collects BATWOMAN #12-17, #0.",English,en
JH Williams,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 4,Batwoman Vol. 4, This Blood is Thick (The New 52),This Blood Is Thick,DC Comics,DC Comics,2014-04-01,,,,2016-06-18,0.0,9781401246211.jpg,https://books.google.ru/books/content?id=z_cPAwAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401246211.0,1401246214,9781401246211.0,,,Hardcover,,160.0,No,,"After taking down Medusa, Batwoman expected her life to get easier. Not so much when caught in the crossfire between Batman and the D.E.O., Department of Extranormal Operations. The organization has their sights set on the Dark Knight, and could be using Batwoman to capture him. But is Batman the true threat? Writers J.H. Williams III and W. Haden Blackman and artist Trevor McCarthy continue their mammoth run on the critically acclaimed title in BATWOMAN VOL. 4: THIS BLOOD IS THICK. Collects BATWOMAN #18-24",English,en
Marc Andreyko,Marc Andreyko,Batwoman Vol. 5,Batwoman Vol. 5, Webs (The New 52) (Batwoman: The New 52!),Webs,DC Comics,DC Comics,2014-12-02,,,,2016-06-18,0.0,9781401250829.jpg,https://books.google.ru/books/content?id=9_hfBQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401250829.0,1401250823,9781401250829.0,,,Paperback,,272.0,No,,"Kate Kane's life has always been one of intrigue and adventure, but since she took on the mantle of Batwoman, things have been in overdrive with no sign of slowing down! Join us as Batwoman starts her next chapter and faces a threat that might just have her rethinking her career as a hero! But her life as a hero isnÍt KateÍs only concern, as Maggie has a surprising revelation and her very angry ex-husband shows up! Can Kate and Maggie work together to discover the secret of the Wolf Spider? Collects BATWOMAN ANNUAL #1 and BATWOMAN #25-34.",English,en
Marc Andreyko,Marc Andreyko,Batwoman Vol. 6,Batwoman Vol. 6: The Unknowns, The Unknowns (The New 52),,DC Comics,DC,2015-07-28,,,,2017-04-06,0.0,9781401254681.jpg,https://books.google.com/books/content?id=TBzVCQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401254681.0,1401254683,9781401254681.0,,,Paperback,,208.0,No,,"Meet The Unknowns... Clayface: a desperate man driven to madness and monstrosity by a magical artifact that transformed him into a shapeshifting killer. Ragman: a guardian of Gotham City whose supernatural suit is woven from a thousand lost souls. Etrigan the Demon: a prince of Hell bonded to a human host a millennium ago, desperate to free himself ever since. And Batwoman: a crimefighter whose alter ego, Kate Kane, may have just lost the love of her life, only to find passion in the arms of a creature of the night. Heroes, villains, something in between-to each of them, the others are a complete unknown.But an ancient evil has returned from beyond the grave: Morgan Le Fey, the mad witch who destroyed King Arthur's Camelot and would do the same to all civilization.It's an evil this fearsome foursome can only stop together-if they don't tear each other apart first...",English,en
Brian Azzarello,Brian Azzarello; Lee Bermejo,Before Watchmen,Before Watchmen, Comedian/Rorschach (Beyond Watchmen),Comedian/Rorschach,DC Comics,DC Comics,2013-07-16,2013.0,,,2016-06-18,0.0,9781401238933.jpg,,,9781401238933.0,1401238939,9781401238933.0,,,Hardcover,Hardcover,256.0,No,,,English,en
Darwyn Cooke,Darwyn Cooke; Amanda Conner,Before Watchmen,Before Watchmen, Minutemen/Silk Spectre (Beyond Watchmen),Minutemen/Silk Spectre,DC Comics,,2013-07-02,2013.0,,,2016-06-18,0.0,9781401238926.jpg,,,9781401238926.0,1401238920,9781401238926.0,,,Hardcover,Hardcover,288.0,No,,,English,en
J. Michael Straczynski,Adam Hughes; Joe Kubert,Before Watchmen,Before Watchmen, Nite Owl/Dr. Manhattan (Beyond Watchmen),Nite Owl/Dr. Manhattan,DC Comics,Diamond Comics,2013-07-16,2013.0,,,2016-06-18,0.0,9781401238940.jpg,,,9781401238940.0,1401238947,9781401238940.0,,,Hardcover,Hardcover,288.0,No,,,English,en
Len Wein,Len Wein; Jae Kyu Lee; John C. Higgins,Before Watchmen,Before Watchmen, Ozymandias/Crimson Corsair (Beyond Watchmen),Ozymandias/Crimson Corsair,DC Comics,,2013-07-02,2013.0,,,2016-06-18,0.0,9781401238957.jpg,,,9781401238957.0,1401238955,9781401238957.0,,,Hardcover,Hardcover,256.0,No,,,English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 1",Blade of the Immortal 1, Blood of a Thousand,Blood of a Thousand,Dark Horse,Dark Horse Comics,2010-03-16,,,,2016-10-09,0.0,9781569712399.jpg,https://books.google.ru/books/content?id=vVl1AQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781569712399.0,1569712395,9781569712399.0,,,Paperback,,136.0,No,"To end his eternal suffering, he must slay one thousand enemies! Manji, a ronin warrior of feudal Japan, has been cursed with immortality. To rid himself of this curse and end his life of misery, he must slay one thousand evil men! His quest begins when a young girl seeks his help in taking revenge on her parents` killers...and his quest won`t end until the blood of a thousand has been spilled!","To end his eternal suffering, he must slay one thousand enemies! Manji, a ronin warrior of feudal Japan, has been cursed with immortality. To rid himself of this curse and end his life of misery, he must slay one thousand evil men! His quest begins when a young girl seeks his help in taking revenge on her parents' killers . . . and his quest won't end until the blood of a thousand has spilled!",English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 10",Blade of the Immortal 10, Secrets,Secrets,Dark Horse Manga,Dark Horse Comics,2011-06-07,,,,2016-10-09,0.0,9781569717462.jpg,https://books.google.ru/books/content?id=e22NDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781569717462.0,156971746X,9781569717462.0,,,Paperback,,232.0,No,"Anotsu Kagehisa, murderous leader of the rogue Itto-ryu sword school, has journeyed to the mountains far from Edo to the remote Shingyoto-ryu dojo under invitation to bring the sword school under his wing. But instead of a warm welcome, Anotsu finds a dojo full of angry young men who don't want to take orders from an upstart, unless he can prove he's tougher than the best of them! That sits just fine with Anotsu, who has dedicated his life to putting the killing back into Japan's formalize",,English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 11. Beasts",Blade of the immortal 11,,Beasts,Dark Horse Manga,,2002-12-30,,,,2016-10-09,0.0,9781569717417.jpg,,,9781569717417.0,1569717419,9781569717417.0,,,Paperback,,192.0,No,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents` killers.",,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 12,Blade of the Immortal 12,,Autumn Frost,Dark Horse Manga,Dark Horse Comics,2016-09-20,,,,2016-10-09,0.0,9781630088378.jpg,https://books.google.ru/books/content?id=YGuoDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088378.0,1630088374,9781569719916.0,,,,,232.0,No,,"You'd think that Manji, the immortal swordsman, would have dispatched just about every sinister personality in feudal Japan on his mission to slay a thousand evil men. But instead of thinning out the vicious herd, he's only shaken loose the most vicious and depraved. Now, Manji and his pal Magatsu are on the trail of one of the baddest apples in the barrel, Shira, old enemy of Manji -- and a one-handed enemy, courtesy of the immortal's blade. But while Manji and Magatsu are hunting Shira, the crafty killer has hired a pack of hunters of his own, and if he can't kill Manji, he's hoping for the next best thing: to cut Manji to pieces on a daily basis. Collecting issues#73-#80 of the ongoing series. end .product-description",English,en
Hiroaki Samura,"Hiroaki Samura, Dana Lewis, Toren Smith","Blade of the Immortal, Vol. 13",Blade of the Immortal 13, Mirror of the Soul,Mirror of the Soul,Dark Horse,Dark Horse Manga,2004-08-31,,,,2016-10-09,0.0,9781593072186.jpg,https://books.google.ru/books/content?id=UKqIPgAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781593072186.0,159307218X,9781593072186.0,,,Paperback,,256.0,No,"Although master swordsman Anotsu Kagehisa rests for a moment to wed the daughter of the master of another dojo, his enemies never rest, including Rin, who has stalked him for years to take revenge for the murder of her parents. Original.","Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 14,Blade of the immortal 14,,Last Blood,Dark Horse Manga,,2016-11-02,,,,2016-10-09,0.0,9781630088392.jpg,https://books.google.ru/books/content?id=y4znAAAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088392.0,1630088390,9781593073213.0,,,,,256.0,No,,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 15",Blade of the immortal 15, Trickster,Trickster,Dark Horse Manga,,2006-02-28,,,,2016-10-09,0.0,9781593074685.jpg,,,9781593074685.0,1593074689,9781593074685.0,,,Paperback,,224.0,No,"Kidnapped and bound by three Itto-ry\ warriors, Rin is unable to warn her bodyguard Manji, the immortal swordsman, that he`s heading into a trap. To make matters worse, the Itto-ry\ possess a large dose of kessen-satsu, the only poison known to damage Manji`s blood and severely cripple his regenerative abilities. And is Mugai-ry\ assassin Giichi following Manji in order to help rescue Rin... or will he just stick around long enough to finish off any survivors?",,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 16,Blade of the Immortal 16, Shortcut,Shortcut,Dark Horse Manga,,2018-08-15,,,,2016-10-09,0.0,9781630088415.jpg,https://books.google.ru/books/content?id=C6LpAQAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088415.0,1630088412,9781593077235.0,,,,,200.0,No,,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 17,Blade of the immortal 17, On the Perfection of Anatomy,On the Perfection of Anatomy,Dark Horse Manga,,2018-08-15,,,,2016-10-09,0.0,9781630088422.jpg,,,9781630088422.0,1630088420,9781593077822.0,,,,,184.0,No,,,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 18,Blade of the Immortal 18, The Sparrow Net: Sparrow Net v. 18,The Sparrow Net,Dark Horse Manga,,2018-08-15,,,,2016-10-09,0.0,9781630088439.jpg,https://books.google.ru/books/content?id=QgxcHwAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088439.0,1630088439,9781593078713.0,,,,,280.0,No,,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
